Candidate;Description;BlockTime;retweet_favorite_count;RunningFor
PT Brasil;Como ministro, @Haddad_Fernando instituiu o Fundeb e criou um novo padrão de financiamento público para a educação. #TBTreze;2018/09/13 13:15:07;;123
Henrique Meirelles;@antoniotabet @antoniotabet, se o Meirelles for eleito, a democracia fica, o Brasil cresce e esses dois ainda aprendem economia. #ChamaOMeirelles15 #EquipeHM;2018/09/17 23:06:12;;123
Fernando Haddad 13;Fernando Haddad, candidato a presidente de Lula, com Katia governadora em Goiânia #HaddadPresidente https://t.co/Uj6RRJR0pV;2018/09/28 15:00:23;;123
Guilherme Boulos;"Mais de 100 programas federais, que incluem obras de hospitais, compra de medicamentos e preservação de patrimônio, estão sem nenhum centavo desde que Temer assumiu a presidência. À espera de um milagre da ""confiança estrangeira"", o país foi paralisado.";2018/09/10 21:55:00;;123
PSOL 50;"A construção da Usina de elo Monte afeta de modo irreversível a biodiversidade e os povos que habitam a região. Precisamos lutar contra o modelo predatório utilizado pelos governos!

#BoulosESonia50 https://t.co/WrVg4VpHTZ";2018/09/14 23:00:00;;123
PT Brasil;A decisão inicial do TSE de barrar a candidatura de @LulaOficial, proferida no dia 31 de agosto, foi destaque na mídia internacional. A impugnação é contestada pela defesa do ex-presidente junto ao próprio TSE e ao Supremo Tribunal Federal. https://t.co/hCihry9EAM;2018/09/07 17:29:39;;123
Fernando Haddad 13;“O amor irá vencer o ódio e as mulheres irão decidir estas eleições” - @ManuelaDavila, nossa candidata a vice. #EleNão #EPelaVidaDasMulheres https://t.co/76EL8Kno6w;2018/09/29 21:35:39;;123
PSDB;O deputado federal @Joaoppapa (SP), está em busca de sua reeleição. O tucano já foi duas vezes prefeito de Santos e se destaca em áreas de desenvolvimento urbano, mobilidade e saúde. ➡ https://t.co/NdLfyt9Wg5 https://t.co/oMo19Bkxk0;2018/09/25 13:00:00;;123
NOVO 30;Conheça, vote e divulgue os candidatos do NOVO no Mato Grosso do Sul. Acesse o site https://t.co/OiUrE5PAXZ https://t.co/FedoGNeLd6;2018/09/19 22:27:34;;123
Geraldo Alckmin;"@Odiguinho 3.503. São 8,02 mortes a cada 100 mil habitantes, a menor taxa de homicídios do país e a menor da história do estado de São Paulo. 
#equipeGA";2018/09/09 23:01:45;;123
Manuela;"Vamos garantir atenção às nossas demandas, assegurando atendimento médico especializado para as mulheres ✊
#ManuNoJaburu #HaddadPresidente #OBrasilFelizDeNovo https://t.co/Lc1sYuk63S";2018/10/01 19:35:33;;123
Henrique Meirelles;Hoje, às 22h00, estarei ao vivo no #DebateTVRecord. Acompanhe! #VoteMeirelles15 https://t.co/wEr9WC9Bqz;2018/09/30 17:00:02;;123
NOVO 30;@TIAGOVERSALLES @g1 Estamos juntos, Tiago! #VamosRenovarTudo;2018/09/05 17:26:34;;123
Fernando Haddad 13;Enquanto eles seguem com uma campanha baseada na disseminação de terror e mentiras, nós seguiremos com a nossa agenda propositiva pelo Brasil. #Vote13 #HaddadPresidente https://t.co/pGfsJ7ayPr;2018/10/04 15:05:00;;123
PSOL 50;Um pequeno comparativo. #EleNão https://t.co/seV8uCJJeT;2018/09/30 15:02:50;;123
Henrique Meirelles;Começou a sabatina Congresso em Foco e MyNews, acompanhe ao vivo. #ChamaOMeirelles 💪#EquipeHM #Meirelles15 https://t.co/AeO1XvF8xV;2018/09/05 17:42:02;;123
Alvaro Dias;Falando sobre agrotóxico no debate #gazetaEstadaoJP https://t.co/VPi1QRIQJc;2018/09/09 22:13:38;;123
Ciro Gomes;Vamos juntos, meu amigo @caetanoveloso! #CiroSim #Ciro12 https://t.co/se24q4MWlU;2018/10/03 22:18:53;;123
PT Brasil;Por que ajudar a Vaquinha do Haddad? Para você participar ainda mais do Brasil Feliz De Novo! #ApoieHaddadManu  https://t.co/vCguOcvleh;2018/09/18 19:35:03;;123
Sonia Guajajara 50;"Nossa candidatura não quer subir degraus pra se consolidar entre os figurões da política, queremos construir um projeto de futuro pro povo e junto com ele.
Falei ao Cidadanista sobre dia a dia de campanha, bem viver e o que queremos pro Brasil. Confira: https://t.co/br4MBcJHS2";2018/09/26 15:18:56;;123
João Amoêdo;São pessoas como a Cristiana que vão mudar o Brasil. https://t.co/bVE2danYce;2018/09/27 16:41:30;;123
PSDB;#MG: Durante o debate realizado pela Globo Minas, @Anastasia apresentou suas propostas para recuperar o Estado, atrair investimentos e gerar emprego e renda para os mineiros, além de desmascarar as mentiras apresentadas pelo governador petista. Leia: https://t.co/Gz4MAPhgF4 https://t.co/7hpJWJdL6S;2018/10/04 17:00:02;;123
Manuela;"2) Passei a tarde com estudantes prounistas e cotistas, jovens que realizam sonhos que gerações de brasileiros sequer ousaram sonhar. 
E possível mudar o Brasil. Nós já mudamos uma vez. Conheci Haddad nesse período. Eu na UNE, ele no MEC. +";2018/09/12 22:00:55;;123
Manuela;@marciatiburi E logo eu que só tenho tatuagens lindas❤️;2018/09/13 23:04:28;;123
Kátia Abreu;https://t.co/tqVPKPRtU1;2018/09/24 00:27:59;;123
PSOL 50;"Não vamos abrir mão de nenhum dos nossos princípios. Nesse 1º turno, vote no que você acredita, vote 50! 

#VoteNoQueAcredita #BoulosESonia50 https://t.co/vKMzB2S9Tl";2018/09/19 13:09:40;;123
João Amoêdo;@silvanaharse Isso aí, Silvana. Chegou a hora da mudança. O povo quer o novo e só o NOVO é novo. #VamosRenovarTudo #EquipeJA;2018/09/26 12:33:17;;123
Manuela;Boa noite, galera! Com essa foto de tirar o fôlego do @ricardostuckert : no agreste pernambucano, com Dona Marina Maria de Jesus, de 93 anos, que costurou as primeiras roupas de Lula. 😍 https://t.co/xcThj6laTV;2018/09/01 23:43:32;;123
Sonia Guajajara 50;Fundamental o combate aos privilégios para combater as desigualdades #BoulosNoSBT #DebateNoSBT https://t.co/cZe7N8ao8u;2018/09/26 21:11:13;;123
Fernando Haddad 13;Baixe, compartilhe e divulgue nosso plano para trazer de volta o Brasil de Lula. Um país mais justo e com oportunidades para todos. #Vote13 #HaddadPresidente https://t.co/Bu9F2lR9k1 https://t.co/y5OfYkaNKA;2018/10/06 16:25:23;;123
PSOL 50;Fazer campanha contra um candidato é permitido. Tentar censurá-la é crime! A denúncia foi movida por @ilkateodorodf, candidata do PSOL no DF 👊👊 https://t.co/YcyUoNZE1q;2018/09/18 19:18:26;;123
Jair Bolsonaro 1️⃣7️⃣;"- Obrigado Vitória!
- Um forte abraço Espírito Santo! https://t.co/TUAigCdHcT";2018/09/30 19:43:01;;123
Henrique Meirelles;@ssfloripa Olá, Sergio. Dados comprovados. Você pode inclusive recorrer às agências de checagem de fatos que atuaram durante o debate. #ChamaOMeirelles15 #EquipeHM #VoteMeirelles15;2018/09/26 22:37:38;;123
MDB Nacional;O melhor candidato para governador do Pará é do MDB: Vote 15! Vote Helder Barbalho! https://t.co/bCJpX2bg74;2018/09/12 18:15:20;;123
Henrique Meirelles;@nando_nandomj @MarinaSilva A campanha do Meirelles segue à toda, Fernando. Por acreditar que o caminho da prosperidade e do trabalho está com ele. #ChamaOMeirelles15 #EquipeHM #VoteMeirelles15;2018/09/25 14:58:41;;123
Kátia Abreu;Ciro tem força e autoridade moral.;2018/09/26 21:25:37;;123
Jair Bolsonaro 1️⃣7️⃣;"O Brasil mostrado nas propagandas eleitorais está longe de ser o que vivemos na realidade. Enquanto marketeiros formulam palavras bonitas e narram um conto de fadas, as pessoas estão presas dentro de suas próprias casas; mães esperam angustiadas pela chegada de seus filhos.";2018/09/11 13:29:13;;123
PSDB;Nosso candidato é incomparável!  👏👏👏 @geraldoalckmin #GeraldoNaGazeta #GazetaEstadaoJP https://t.co/IuaUX0nfPd;2018/09/09 22:08:11;;123
João Amoêdo;@loisea7 Obrigado pelo carinho, Loisea. Vamos em frente por um NOVO Brasil. Não esqueça de assinar e compartilhar com todos os seus amigos a nossa petição por João Amoêdo nos debates: https://t.co/SyPddv9GHc. #JoãoCom6% #EquipeJA;2018/09/26 13:14:07;;123
Fernando Haddad 13;Nós queremos cultivar um ambiente de paz com dois focos: trabalho e educação. #HaddadAoVivo;2018/09/24 16:02:58;;123
Manuela;@Haddad_Fernando: “O que a gente traz aqui é a ideia de um Brasil que não esquece de seus sonhos”. #HaddadÉLulaNoJN;2018/09/14 23:15:45;;123
Alvaro Dias;Caminhada em Carapicuíba-SP: https://t.co/bHWXKdSHEU via @YouTube;2018/09/12 21:23:57;;123
Manuela;#OBrasilFelizDeNovo #ManuNoJaburu #HaddadPresidente https://t.co/trSdp7rgfL;2018/09/27 16:34:30;;123
Henrique Meirelles;@VivianFauvel @conexaopolitica @teresinhalopes Obrigado o reconhecimento! #ChamaOMeirelles #EquipeHM #Meirelles15;2018/09/10 11:55:19;;123
PT Brasil;Conforme comprovado por vídeo em ato realizado no Acre, o deputado da extrema direita fez gesto de “fuzilamento” e instigou seu público a, em suas próprias palavras, “fuzilar a petralhada toda aqui do Acre”. Saiba mais: https://t.co/TCBiwoQRDn;2018/09/03 17:35:22;;123
Kátia Abreu;"ReVEJA Ciro Gomes: Em 1992, o mais jovem (e popular) governador do país https://t.co/7Hxsqd6UFA
ORGULHO NOSSO!";2018/09/09 18:51:39;;123
Kátia Abreu;Veja o olhar dele pra câmara. Sabe que faz sucesso.Danado. https://t.co/LXTQxMljHz;2018/09/23 15:24:14;;123
Vera;Nossa agenda de ontem no Rio de Janeiro é destaque no @g1. #TôComVera #pstu16 https://t.co/nJOd6lATVy;2018/09/08 14:36:41;;123
João Amoêdo;"Temos a 3ª maior fronteira do mundo.
Para reduzir a entrada de drogas e armamento,precisamos usar tecnologia para monitorar fronteiras,tirar a Polícia Federal das atividades administrativas e trazê-la para trabalhar de forma integrada com a polícia local.
https://t.co/9g2NcYZKBC";2018/09/07 22:54:43;;123
João Amoêdo;"@netofiscina @geraldoalckmin Obrigado pelo apoio. Chega da velha política. É hora de renovar o país e só o NOVO é NOVO. Vamos em frente. 
#VamosRenovarTudo
#VemComJoão30
#EquipeJA";2018/09/19 22:00:59;;123
João Amoêdo;@pcapinheiro Paulo, o João esteve em Campinas recentemente. Nós estamos percorrendo todo o país, não deixe de acompanhar a nossa agenda https://t.co/AWCIyhU7ym. #VemComJoão30 #Vote30 #EquipeJA;2018/09/26 13:23:21;;123
Manuela;Se liga na agenda de hoje! #ManuNoJaburu #HaddadPresidente #OBrasilFelizDeNovo https://t.co/V38lyKYGck;2018/10/05 16:46:05;;123
